질문번호,질문내용,생성된쿼리,평균유사도
1,한국은행의 기준금리 동결이 가계대출 증가율과 DSR 규제 효과에 미치는 영향을 분석해줘.,"1. 한국은행 기준금리 동결 2023-현재 영향 분석, 2. 가계대출 증가율 기준금리 동결 이후 변화 추적, 3. DSR 규제 강화와 기준금리 동결의 상호작용 효과 2023-, 4. 최근 금융시장 동향: 기준금리 동결과 가계대출 DSR 규제 효과 평가 2025-",0.6993822912861059
2,"중국의 반도체 굴기 정책이 한국 메모리 반도체 업체들(SK하이닉스, 삼성전자)에게 미치는 장기적 영향을 평가해줘.","1. ""China's semiconductor ambitions 2025 impact on Korean memory chip firms"", 2. ""Long-term effects of China's semiconductor policy on SK Hynix and Samsung Electronics"", 3. ""Global semiconductor landscape 2025: Challenges for South Korean memory leaders"", 4. ""Recent developments in China's semiconductor strategy affecting SK하이닉스 and 삼성전자 (2025-)""",0.4943354288279727
3,K-뷰티 업계의 중국 의존도 감소 전략과 신남방 시장 진출 현황을 분석해줘.,"1. ""2025 K-뷰티 중국 의존도 감소 전략 최신 동향"", 2. ""신남방 시장 진출 K-뷰티 기업 사례 2025"", 3. ""최근 K-뷰티 산업 중국 외 시장 다각화 전략 분석"", 4. ""2025 K-뷰티 산업 신남방 시장 진출 현황 및 전망""",0.6081798876704201
4,가계대출 총량규제 강화가 지역별 부동산 시장에 미치는 차별적 영향을 분석해줘.,"1. ""2025- 가계대출 총량규제 강화 지역별 부동산 시장 영향 분석"", 2. ""최근 가계대출 규제 강화에 따른 수도권 vs 지방 부동산 시장 차별적 영향"", 3. ""요즘 부동산 정책 변화(가계대출 총량규제 강화 포함)와 지역별 시장 반응"", 4. ""2025년 부동산 시장 예측: 가계대출 총량규제 강화의 지역 차별성 분석""",0.6105811400162228
5,"카카오페이, 토스 등 핀테크 업체들의 수익모델 다각화 전략과 기존 은행권과의 경쟁구도를 분석해줘.","1. ""2025-카카오페이 수익모델 다각화 전략 최근 동향"", 2. ""토스 핀테크 수익 다각화 최신 전략 비교"", 3. ""2025-핀테크 업체와 전통 은행 경쟁 구도 분석"", 4. ""최근 금융시장에서 카카오페이와 은행권 경쟁 현황""",0.543877402629333
6,인플레이션 헤지를 위해서는 어떤 자산에 투자해야 하나?,"1. ""2025- 인플레이션 헤지 자산 추천"", 2. ""최근 인플레이션 시기에 효과적인 헤지 자산"", 3. ""현재 인플레이션 환경에서 안정적인 투자 자산"", 4. ""요즘 많이 추천하는 인플레이션 헤지 포트폴리오 자산""",0.5985794096360313
7,HBM 메모리 시장에서 SK하이닉스가 삼성전자를 앞서고 있는 이유는?,"1. ""2023 SK하이닉스 HBM 메모리 시장 점유율 비교"", 2. ""최근 HBM 기술 개발 동향 SK하이닉스 vs 삼성전자"", 3. ""SK하이닉스 HBM 생산 및 투자 전략 분석 2025"", 4. ""HBM 메모리 시장 트렌드: SK하이닉스 경쟁력 요인""",0.6394959906980001
8,"국내 카드사들 중에서 실적이 가장 좋은 곳은 어디고, 그 이유는?","1. ""2025- 국내 카드사 실적 최고 기업 분석"", 2. ""최근 국내 카드사 재무 성과 비교"", 3. ""2025- 국내 카드사 시장 점유율 및 수익성"", 4. ""현재 국내 카드사 성장 동력 및 성공 요인 분석""",0.6265415619538993
9,기업분석 보고서 작성 시 가장 중요하게 봐야 할 지표 3가지는?,"1. 기업분석 보고서 핵심 지표 2023-2025, 2. 최신 재무 비율 분석 가이드: PER, PBR, ROE, 3. 요즘 투자자들이 주목하는 기업 성장 지표들, 4. 2025 전망을 위한 주요 비가치평가 지표 선정 방법",0.5399526441522501
10,"재건축 vs 재개발, 어느 쪽이 수익성이 더 높을까?","1. 2025년 재건축 투자 수익성 비교 분석, 2. 최근 재개발 프로젝트 수익성 현황, 3. 재건축 vs 재개발: 현재 시장 가치와 미래 전망, 4. 2025-년 부동산 시장 동향에서의 재건축 및 재개발 수익성 평가",0.6925835692070079
