질문번호,질문내용,생성된쿼리,평균유사도
1,한국은행의 기준금리 동결이 가계대출 증가율과 DSR 규제 효과에 미치는 영향을 분석해줘.,"한국은행 기준금리 최근 동결 정책 발표 자료, 최근 가계대출 증가율 통계 및 분석 보고서, DSR 규제 현재 시행 현황 및 효과 분석, 2025년 한국은행 통화정책과 가계대출 관계 연구",0.6106093376402535
2,"중국의 반도체 굴기 정책이 한국 메모리 반도체 업체들(SK하이닉스, 삼성전자)에게 미치는 장기적 영향을 평가해줘.","중국 반도체 굴기 정책 최근 동향 분석, 중국 반도체 산업 투자 현황 2025년, 한국 메모리 반도체 업체 중국 시장 점유율 변화 최근 보고서, 삼성전자 SK하이닉스 중국 정책 대응 전략 2025년",0.6060379370989535
3,K-뷰티 업계의 중국 의존도 감소 전략과 신남방 시장 진출 현황을 분석해줘.,"K-뷰티 중국 의존도 감소 전략 최근 분석 2025, 신남방 시장 K-뷰티 진출 현황 2025, K-뷰티 중국 리스크 대응 전략 현재 상황, K-뷰티 동남아시아 시장 확대 전략 2025",0.5989875860914345
4,가계대출 총량규제 강화가 지역별 부동산 시장에 미치는 차별적 영향을 분석해줘.,"가계대출 총량규제 강화 지역별 부동산 시장 영향 분석 2025년, 최근 가계대출 규제 강화 지역별 주택가격 변동 현황, 2025년 현재 지역별 부동산 거래량과 가계대출 규제 상관관계, 2025년 가계대출 총량규제 지역별 차별적 부동산 시장 영향 연구",0.5894993072387902
5,"카카오페이, 토스 등 핀테크 업체들의 수익모델 다각화 전략과 기존 은행권과의 경쟁구도를 분석해줘.","카카오페이 수익모델 다각화 전략 2025, 토스 핀테크 수익구조 분석 2025, 핀테크 업체 은행권 경쟁 현황 2025, 한국 핀테크 기업 수익모델 변화 최근 동향",0.5260388885335364
6,인플레이션 헤지를 위해서는 어떤 자산에 투자해야 하나?,"인플레이션 헤지 투자 최근 자산 종류 2025년 분석, 인플레이션 헤지 전략 현재 추천 자산 2025년, 인플레이션 방어 투자 상품 2025년 비교 분석, 인플레이션 대비 자산 포트폴리오 구성 2025년 방법",0.5422776339059383
7,HBM 메모리 시장에서 SK하이닉스가 삼성전자를 앞서고 있는 이유는?,"SK하이닉스 HBM 시장 점유율 2025년 최근 분석, 삼성전자 HBM 매출 현황 2025년 현재 비교, HBM 메모리 기술 SK하이닉스 우위 요인 2025년, 삼성 SK하이닉스 HBM 경쟁력 차이 최근 동향",0.6721029036806359
8,"국내 카드사들 중에서 실적이 가장 좋은 곳은 어디고, 그 이유는?","국내 카드사 최근 실적 순위 분석 2025, 현대카드 삼성카드 순이익 비교 2025, 국내 카드사 실적 1위 카드사 이유 분석 2025, 신한카드 KB국민카드 최근 실적 비교 2025",0.6178060198929872
9,기업분석 보고서 작성 시 가장 중요하게 봐야 할 지표 3가지는?,"기업분석 보고서 작성 최근 중요 지표 3가지 분석, 2025년 현재 기업분석 핵심 지표 트렌드, 최근 기업분석 보고서 작성 필수 지표, 요즘 기업분석에서 중요한 재무지표 3가지",0.6127349314883759
10,"재건축 vs 재개발, 어느 쪽이 수익성이 더 높을까?","재건축 수익성 2025년 현재 비교 분석, 재개발 수익성 2025년 최근 동향, 재건축 vs 재개발 투자 수익률 2025년, 서울 재건축 재개발 수익성 차이 2025년 최신 데이터",0.7324820152575976
