질문번호,질문내용,생성된쿼리,평균유사도
1,한국은행의 기준금리 동결이 가계대출 증가율과 DSR 규제 효과에 미치는 영향을 분석해줘.,"1. 2025-한국은행 기준금리 동결 가계대출 증가율 분석, 2. 최근 DSR 규제 효과와 기준금리 동결의 상관관계, 3. 2025-한국은행 정책 변화와 가계대출 현황, 4. 현재 기준금리 동결이 DSR 규제에 미치는 영향",0.6953660674414877
2,"중국의 반도체 굴기 정책이 한국 메모리 반도체 업체들(SK하이닉스, 삼성전자)에게 미치는 장기적 영향을 평가해줘.","1. 2025-중국 반도체 굴기 정책 한국 메모리 반도체 영향 분석, 2. 최근 중국 반도체 산업 발전 현황과 한국 업체 대응 전략, 3. 현재 중국 메모리 반도체 시장 동향과 한국 업체 경쟁력 변화, 4. 요즘 SK하이닉스와 삼성전자의 중국 시장 대응 및 장기적 전략 평가",0.6583054928295614
3,K-뷰티 업계의 중국 의존도 감소 전략과 신남방 시장 진출 현황을 분석해줘.,"1. 2025-K뷰티 중국 의존도 감소 전략 분석, 2. K뷰티 신남방 시장 진출 현황 2023-, 3. 최근 K뷰티 중국 시장 이탈 트렌드, 4. 현재 K뷰티 신시장 개척 사례 연구",0.6250395370653768
4,가계대출 총량규제 강화가 지역별 부동산 시장에 미치는 차별적 영향을 분석해줘.,"1. 2025-가계대출 총량규제 지역별 부동산 시장 영향 분석, 2. 최근 가계대출 규제가 부동산 시장에 미치는 차별적 효과, 3. 현재 가계대출 총량규제와 지역별 부동산 시장 동향, 4. 요즘 가계대출 제한이 지역별 부동산 가격에 미치는 영향",0.617611877902697
5,"카카오페이, 토스 등 핀테크 업체들의 수익모델 다각화 전략과 기존 은행권과의 경쟁구도를 분석해줘.","1. 2025-핀테크 수익모델 다각화 사례, 2. 카카오페이 은행권 경쟁전략 2023, 3. 토스와 기존 은행의 경쟁구도 2025, 4. 최근 핀테크 업체들의 수익 다변화 전략 분석",0.5649258331402947
6,인플레이션 헤지를 위해서는 어떤 자산에 투자해야 하나?,"1. 2025-인플레이션 헤지 투자 자산, 2. 현재 인플레이션 대응 투자 전략, 3. 최근 인플레이션 헤지 포트폴리오 구성, 4. 요즘 인플레이션에 강한 자산 종류",0.5807119397344781
7,HBM 메모리 시장에서 SK하이닉스가 삼성전자를 앞서고 있는 이유는?,"1. 2025-HBM 메모리 시장 점유율 SK하이닉스와 삼성전자 비교, 2. SKH HBM 기술 혁신 최근 동향, 3. 2025-HBM 메모리 수요 증가 요인, 4. 최근 SK하이닉스의 HBM 경쟁력 강화 전략",0.6921608138826275
8,"국내 카드사들 중에서 실적이 가장 좋은 곳은 어디고, 그 이유는?","1. 2025-국내 카드사 실적 1위, 2. 2025-카드사 실적 분석, 3. 2025-국내 카드사 성과 비교, 4. 2025-최근 카드사 실적 우수 사례",0.6327942850136439
9,기업분석 보고서 작성 시 가장 중요하게 봐야 할 지표 3가지는?,"1. 2025-재무비율분석, 2. 현재수익성지표, 3. 최근성장성지표, 4. 기업가치평가방법론",0.4170993754605827
10,"재건축 vs 재개발, 어느 쪽이 수익성이 더 높을까?","1. 2025-재건축 수익성 분석 2023, 2. 현재 재개발 투자 수익률 비교, 3. 최근 재건축과 재개발의 경제적 효과, 4. 요즘 재건축 vs 재개발 수익성 연구",0.6914792890522523
